Transaction_ID,Customer_ID,Category,Item,Price_Per_Unit,Quantity,Total_Spent,Payment_Method,Location,Transaction_Date,Discount_Applied
TXN_9458126,CUST_06,Beverages,Item_16_BEV,27.50,9.00,247.50,"Credit Card",Online,2022-05-07,
TXN_7482416,CUST_09,Patisserie,,0.00,10.00,200.00,"Credit Card",Online,2023-11-30,
TXN_2490363,CUST_09,"Milk Products",Item_16_MILK,27.50,2.00,55.00,"Digital Wallet",Online,2022-05-22,
TXN_1809665,CUST_14,Beverages,,24.50,0.00,0.00,"Credit Card",In-store,2022-05-11,
TXN_9634894,CUST_15,"Milk Products",,0.00,10.00,275.00,"Digital Wallet",Online,2022-04-17,
TXN_9939063,CUST_14,Beverages,Item_7_BEV,14.00,9.00,126.00,"Digital Wallet",In-store,2024-01-14,
TXN_8685338,CUST_15,"Milk Products",,0.00,3.00,105.00,"Credit Card",In-store,2023-10-29,
TXN_6547964,CUST_10,"Electric household essentials",Item_4_EHE,9.50,7.00,66.50,Cash,In-store,2022-08-15,
TXN_1494700,CUST_12,"Electric household essentials",Item_21_EHE,35.00,9.00,315.00,"Credit Card",In-store,2024-03-07,
TXN_1621497,CUST_06,Patisserie,,23.00,0.00,0.00,Cash,In-store,2023-02-18,
TXN_8312797,CUST_14,Beverages,Item_11_BEV,20.00,5.00,100.00,"Digital Wallet",Online,2022-06-03,
TXN_1019817,CUST_16,"Electric household essentials",Item_10_EHE,18.50,5.00,92.50,Cash,Online,2022-08-01,
TXN_1110407,CUST_25,Butchers,Item_24_BUT,39.50,7.00,276.50,"Digital Wallet",In-store,2022-10-21,
TXN_6276518,CUST_24,Beverages,Item_8_BEV,15.50,3.00,46.50,Cash,In-store,2024-04-08,
TXN_4740738,CUST_25,Food,Item_3_FOOD,8.00,1.00,8.00,"Digital Wallet",In-store,2022-04-19,
TXN_8425168,CUST_25,"Milk Products",Item_16_MILK,27.50,7.00,192.50,Cash,In-store,2022-03-12,
TXN_9451794,CUST_24,"Milk Products",Item_19_MILK,32.00,3.00,96.00,"Credit Card",Online,2024-01-28,
TXN_2383377,CUST_15,Furniture,Item_7_FUR,14.00,3.00,42.00,"Digital Wallet",In-store,2023-04-02,
TXN_6966182,CUST_02,Furniture,Item_16_FUR,27.50,9.00,247.50,Cash,Online,2024-09-06,
TXN_6340470,CUST_17,Butchers,Item_2_BUT,6.50,6.00,39.00,"Credit Card",In-store,2022-10-12,
TXN_2719047,CUST_03,Butchers,Item_20_BUT,33.50,4.00,134.00,"Credit Card",Online,2023-11-21,
TXN_7363165,CUST_25,Beverages,Item_4_BEV,9.50,7.00,66.50,"Digital Wallet",In-store,2023-03-25,
TXN_2780662,CUST_02,"Milk Products",Item_19_MILK,32.00,10.00,320.00,"Digital Wallet",In-store,2023-01-19,
TXN_3933685,CUST_09,"Computers and electric accessories",Item_20_CEA,33.50,10.00,335.00,"Credit Card",Online,2022-04-15,
TXN_8955685,CUST_24,Food,Item_20_FOOD,33.50,2.00,67.00,"Digital Wallet",Online,2023-04-24,
TXN_7821493,CUST_07,Patisserie,Item_17_PAT,29.00,10.00,290.00,"Credit Card",In-store,2024-12-17,
TXN_8244728,CUST_08,Food,Item_7_FOOD,14.00,1.00,14.00,"Credit Card",In-store,2024-04-27,
TXN_3858145,CUST_17,Furniture,Item_21_FUR,35.00,3.00,105.00,"Digital Wallet",Online,2023-04-01,
TXN_2414530,CUST_24,"Milk Products",Item_8_MILK,15.50,8.00,124.00,Cash,Online,2024-06-20,
TXN_7296720,CUST_18,Patisserie,Item_4_PAT,9.50,5.00,47.50,Cash,Online,2024-09-12,
TXN_1958345,CUST_08,"Electric household essentials",Item_4_EHE,9.50,8.00,76.00,Cash,In-store,2024-06-28,
TXN_1528585,CUST_15,"Electric household essentials",Item_6_EHE,12.50,1.00,12.50,"Credit Card",In-store,2024-09-17,
TXN_7209607,CUST_25,Food,Item_18_FOOD,30.50,6.00,183.00,"Credit Card",In-store,2023-08-25,
TXN_9464391,CUST_04,Food,Item_18_FOOD,30.50,10.00,305.00,Cash,Online,2023-11-17,
TXN_7956502,CUST_06,Butchers,Item_8_BUT,15.50,7.00,108.50,"Credit Card",In-store,2024-04-30,
TXN_1352831,CUST_04,Food,Item_22_FOOD,36.50,3.00,109.50,"Credit Card",Online,2023-10-31,
TXN_9204828,CUST_07,"Computers and electric accessories",Item_25_CEA,41.00,7.00,287.00,Cash,Online,2022-03-05,
TXN_8215469,CUST_17,"Milk Products",Item_23_MILK,38.00,10.00,380.00,"Digital Wallet",In-store,2024-03-16,
TXN_2878134,CUST_18,Butchers,Item_8_BUT,15.50,9.00,139.50,"Credit Card",In-store,2024-05-10,
TXN_3123571,CUST_15,Furniture,Item_23_FUR,38.00,3.00,114.00,"Digital Wallet",Online,2022-08-07,
TXN_1112365,CUST_19,Food,Item_24_FOOD,39.50,10.00,395.00,Cash,Online,2023-09-24,
TXN_2953434,CUST_25,Furniture,Item_25_FUR,41.00,10.00,410.00,"Credit Card",In-store,2023-08-10,
TXN_1249742,CUST_05,"Milk Products",Item_24_MILK,39.50,10.00,395.00,"Digital Wallet",Online,2024-03-21,
TXN_4633046,CUST_13,"Computers and electric accessories",Item_2_CEA,6.50,5.00,32.50,"Digital Wallet",Online,2023-08-25,
TXN_6149882,CUST_09,Beverages,Item_20_BEV,33.50,1.00,33.50,"Credit Card",Online,2023-01-22,
