Transaction_ID,Customer_ID,Category,Item,Price_Per_Unit,Quantity,Total_Spent,Payment_Method,Location,Transaction_Date,Discount_Applied
TXN_1372952,CUST_21,Furniture,,33.50,0.00,0.00,"Digital Wallet",In-store,2024-04-02,True
TXN_1809665,CUST_14,Beverages,,24.50,0.00,0.00,"Credit Card",In-store,2022-05-11,
TXN_4206593,CUST_01,Furniture,,35.00,0.00,0.00,"Digital Wallet",Online,2025-01-13,False
TXN_3481599,CUST_05,Furniture,,39.50,0.00,0.00,Cash,Online,2022-09-08,False
TXN_1621497,CUST_06,Patisserie,,23.00,0.00,0.00,Cash,In-store,2023-02-18,
TXN_4532214,CUST_25,Patisserie,,15.50,0.00,0.00,"Credit Card",In-store,2024-03-25,False
TXN_5419965,CUST_23,"Computers and electric accessories",,20.00,0.00,0.00,"Digital Wallet",Online,2024-01-16,False
TXN_8210621,CUST_03,Beverages,,39.50,0.00,0.00,"Digital Wallet",Online,2024-01-03,False
TXN_8586300,CUST_11,"Computers and electric accessories",,27.50,0.00,0.00,"Credit Card",Online,2022-02-08,False
TXN_1154680,CUST_25,Furniture,,35.00,0.00,0.00,"Credit Card",Online,2022-12-18,False
TXN_9177662,CUST_15,Furniture,,24.50,0.00,0.00,Cash,In-store,2024-09-30,True
TXN_1175914,CUST_13,Butchers,,23.00,0.00,0.00,Cash,In-store,2023-05-19,False
TXN_9610555,CUST_15,Beverages,,6.50,0.00,0.00,Cash,In-store,2022-11-15,False
TXN_1811555,CUST_15,Food,,30.50,0.00,0.00,Cash,Online,2023-07-31,
TXN_9246169,CUST_14,"Electric household essentials",,38.00,0.00,0.00,Cash,Online,2023-08-16,False
TXN_9410785,CUST_24,Furniture,,12.50,0.00,0.00,"Digital Wallet",Online,2024-01-14,False
TXN_9130896,CUST_03,Food,,20.00,0.00,0.00,"Digital Wallet",In-store,2022-05-17,
TXN_3096445,CUST_17,"Computers and electric accessories",,32.00,0.00,0.00,"Digital Wallet",In-store,2024-06-25,
TXN_8838958,CUST_01,"Computers and electric accessories",,15.50,0.00,0.00,Cash,In-store,2024-11-08,
TXN_4351153,CUST_21,Food,,17.00,0.00,0.00,Cash,In-store,2024-12-07,False
TXN_2496138,CUST_22,Food,,11.00,0.00,0.00,Cash,Online,2023-10-04,
TXN_3834320,CUST_18,Beverages,,24.50,0.00,0.00,Cash,In-store,2022-11-08,True
TXN_6615809,CUST_20,"Computers and electric accessories",,15.50,0.00,0.00,"Credit Card",In-store,2023-06-22,True
TXN_6908704,CUST_16,"Electric household essentials",,26.00,0.00,0.00,"Digital Wallet",In-store,2024-02-04,True
TXN_7383288,CUST_10,"Milk Products",,26.00,0.00,0.00,"Digital Wallet",In-store,2022-08-12,
TXN_2771813,CUST_17,"Electric household essentials",,41.00,0.00,0.00,"Digital Wallet",Online,2022-06-10,
TXN_2346263,CUST_21,"Electric household essentials",,12.50,0.00,0.00,"Credit Card",In-store,2022-09-09,False
TXN_3171192,CUST_13,Food,,26.00,0.00,0.00,Cash,Online,2024-01-22,True
TXN_9472812,CUST_04,Food,,11.00,0.00,0.00,"Digital Wallet",Online,2024-08-16,
TXN_3948610,CUST_07,Furniture,,33.50,0.00,0.00,"Digital Wallet",In-store,2023-02-24,
TXN_5034035,CUST_08,Furniture,,9.50,0.00,0.00,"Credit Card",Online,2024-08-25,False
TXN_9923470,CUST_21,Patisserie,,5.00,0.00,0.00,"Digital Wallet",In-store,2023-03-08,True
TXN_9671023,CUST_22,"Computers and electric accessories",,30.50,0.00,0.00,"Credit Card",In-store,2024-11-02,True
TXN_8482271,CUST_23,Patisserie,,20.00,0.00,0.00,Cash,Online,2022-01-05,
TXN_7068372,CUST_23,"Computers and electric accessories",,23.00,0.00,0.00,"Digital Wallet",In-store,2022-12-10,
TXN_6417831,CUST_22,"Computers and electric accessories",,20.00,0.00,0.00,"Credit Card",In-store,2024-01-05,False
TXN_7461424,CUST_25,Beverages,,27.50,0.00,0.00,Cash,In-store,2024-11-23,True
TXN_7705441,CUST_25,"Milk Products",,26.00,0.00,0.00,"Digital Wallet",Online,2022-02-27,False
TXN_9637396,CUST_19,"Electric household essentials",,21.50,0.00,0.00,Cash,Online,2024-09-04,
TXN_1909279,CUST_10,"Electric household essentials",,24.50,0.00,0.00,"Credit Card",Online,2024-06-12,True
TXN_1534681,CUST_08,Food,,24.50,0.00,0.00,"Credit Card",In-store,2023-01-11,False
TXN_2515470,CUST_07,Food,,8.00,0.00,0.00,"Credit Card",Online,2023-09-20,
TXN_8110567,CUST_02,Beverages,,33.50,0.00,0.00,"Digital Wallet",In-store,2022-04-12,True
TXN_3499525,CUST_02,Beverages,,15.50,0.00,0.00,"Digital Wallet",Online,2024-02-16,
TXN_8988049,CUST_01,"Milk Products",,8.00,0.00,0.00,"Digital Wallet",In-store,2023-06-27,False
TXN_9887959,CUST_24,Beverages,,21.50,0.00,0.00,Cash,Online,2023-08-09,True
TXN_1995311,CUST_23,Patisserie,,38.00,0.00,0.00,Cash,In-store,2024-05-16,False
TXN_2677539,CUST_15,Food,,39.50,0.00,0.00,Cash,In-store,2022-08-31,False
TXN_5980975,CUST_13,Furniture,,5.00,0.00,0.00,"Credit Card",Online,2023-08-01,
TXN_3368345,CUST_25,Furniture,,12.50,0.00,0.00,"Credit Card",In-store,2022-10-03,False
TXN_7113206,CUST_09,"Milk Products",,27.50,0.00,0.00,"Digital Wallet",In-store,2023-07-28,
TXN_3704834,CUST_07,"Electric household essentials",,29.00,0.00,0.00,Cash,Online,2022-07-06,False
TXN_9620768,CUST_07,Butchers,,21.50,0.00,0.00,Cash,Online,2024-04-06,True
TXN_9025948,CUST_21,Beverages,,8.00,0.00,0.00,"Digital Wallet",In-store,2023-12-25,True
TXN_2126674,CUST_16,"Milk Products",,39.50,0.00,0.00,"Digital Wallet",In-store,2024-10-29,False
TXN_3053471,CUST_16,Beverages,,29.00,0.00,0.00,Cash,Online,2024-06-09,
TXN_4737365,CUST_05,Furniture,,24.50,0.00,0.00,"Digital Wallet",Online,2023-11-02,True
TXN_1446103,CUST_20,Butchers,,6.50,0.00,0.00,Cash,In-store,2022-07-29,True
TXN_8615445,CUST_01,Beverages,,21.50,0.00,0.00,"Credit Card",In-store,2022-12-22,False
TXN_7297595,CUST_19,Furniture,,39.50,0.00,0.00,Cash,In-store,2022-01-07,
TXN_7819515,CUST_13,Butchers,,12.50,0.00,0.00,Cash,Online,2022-02-15,False
TXN_9999124,CUST_02,Butchers,,36.50,0.00,0.00,"Digital Wallet",In-store,2024-02-21,False
TXN_7075100,CUST_20,Patisserie,,41.00,0.00,0.00,"Digital Wallet",Online,2024-02-16,True
TXN_1276885,CUST_23,Patisserie,,5.00,0.00,0.00,Cash,In-store,2024-12-30,
TXN_7729357,CUST_08,"Milk Products",,14.00,0.00,0.00,"Credit Card",Online,2024-06-19,
TXN_9773979,CUST_05,"Computers and electric accessories",,8.00,0.00,0.00,"Digital Wallet",Online,2024-11-04,False
TXN_2164614,CUST_07,Furniture,,6.50,0.00,0.00,"Digital Wallet",Online,2023-05-18,
TXN_2500042,CUST_13,"Computers and electric accessories",,35.00,0.00,0.00,"Digital Wallet",Online,2023-04-15,True
TXN_2082664,CUST_06,Beverages,,26.00,0.00,0.00,"Digital Wallet",Online,2024-05-30,True
