Transaction_ID,Customer_ID,Category,Item,Price_Per_Unit,Quantity,Total_Spent,Payment_Method,Location,Transaction_Date,Discount_Applied
TXN_7482416,CUST_09,Patisserie,,0.00,10.00,200.00,"Credit Card",Online,2023-11-30,
TXN_5422631,CUST_09,"Milk Products",,0.00,8.00,52.00,"Digital Wallet",In-store,2025-01-12,True
TXN_9634894,CUST_15,"Milk Products",,0.00,10.00,275.00,"Digital Wallet",Online,2022-04-17,
TXN_8685338,CUST_15,"Milk Products",,0.00,3.00,105.00,"Credit Card",In-store,2023-10-29,
TXN_1543244,CUST_20,Food,,0.00,8.00,196.00,"Credit Card",Online,2024-10-25,True
TXN_4608122,CUST_21,Butchers,,0.00,10.00,275.00,"Digital Wallet",Online,2022-10-01,False
TXN_3822751,CUST_21,Butchers,,0.00,9.00,126.00,"Digital Wallet",In-store,2024-03-04,False
TXN_7804271,CUST_22,Patisserie,,0.00,8.00,40.00,Cash,Online,2023-02-10,
TXN_3433195,CUST_24,"Electric household essentials",,0.00,7.00,150.50,Cash,Online,2023-03-30,
TXN_7571093,CUST_17,"Milk Products",,0.00,9.00,99.00,"Digital Wallet",In-store,2022-11-18,
TXN_9469962,CUST_08,Beverages,,0.00,6.00,48.00,Cash,Online,2024-02-26,False
TXN_5911306,CUST_21,"Milk Products",,0.00,8.00,268.00,"Digital Wallet",Online,2022-10-10,True
TXN_7043807,CUST_24,Furniture,,0.00,7.00,182.00,"Digital Wallet",In-store,2022-02-07,
TXN_2218629,CUST_10,"Computers and electric accessories",,0.00,3.00,96.00,"Credit Card",Online,2022-03-21,False
TXN_8348586,CUST_03,"Electric household essentials",,0.00,8.00,220.00,"Credit Card",Online,2022-08-12,
TXN_2687566,CUST_19,Furniture,,0.00,1.00,27.50,"Credit Card",Online,2022-03-21,False
TXN_5361643,CUST_19,Food,,0.00,2.00,46.00,"Digital Wallet",Online,2023-12-19,
TXN_4897743,CUST_01,Food,,0.00,9.00,193.50,"Credit Card",In-store,2024-03-18,
TXN_1565398,CUST_25,Food,,0.00,8.00,148.00,"Credit Card",In-store,2022-06-15,
TXN_9917843,CUST_11,"Milk Products",,0.00,10.00,95.00,"Digital Wallet",Online,2024-03-04,True
TXN_4298975,CUST_22,"Milk Products",,0.00,2.00,61.00,"Digital Wallet",Online,2023-12-18,False
TXN_1285469,CUST_20,"Electric household essentials",,0.00,7.00,108.50,"Digital Wallet",Online,2022-06-17,False
TXN_6586324,CUST_15,Butchers,,0.00,6.00,183.00,"Digital Wallet",In-store,2024-05-08,
TXN_8177929,CUST_12,Furniture,,0.00,2.00,76.00,"Credit Card",Online,2022-06-12,True
TXN_7555309,CUST_12,Beverages,,0.00,5.00,107.50,"Credit Card",Online,2022-07-15,True
TXN_7101302,CUST_16,Beverages,,0.00,1.00,33.50,Cash,In-store,2024-10-24,True
TXN_8935391,CUST_16,"Milk Products",,0.00,1.00,27.50,"Credit Card",Online,2022-09-06,True
TXN_2028333,CUST_18,"Milk Products",,0.00,4.00,110.00,"Digital Wallet",In-store,2024-07-28,True
TXN_5476798,CUST_02,Butchers,,0.00,10.00,380.00,"Digital Wallet",Online,2022-10-07,False
TXN_5849098,CUST_16,Furniture,,0.00,3.00,105.00,Cash,Online,2024-06-23,False
TXN_3010762,CUST_24,Furniture,,0.00,2.00,10.00,"Digital Wallet",In-store,2023-07-14,True
TXN_1972761,CUST_23,Patisserie,,0.00,10.00,80.00,"Credit Card",In-store,2024-10-24,
TXN_8487838,CUST_18,"Computers and electric accessories",,0.00,4.00,44.00,"Digital Wallet",Online,2023-02-04,
TXN_4445756,CUST_15,Patisserie,,0.00,4.00,164.00,"Credit Card",In-store,2023-10-26,
TXN_6857566,CUST_23,"Computers and electric accessories",,0.00,2.00,46.00,"Credit Card",In-store,2024-03-14,True
TXN_8624505,CUST_19,Food,,0.00,9.00,207.00,Cash,In-store,2023-09-15,True
TXN_2843259,CUST_24,Patisserie,,0.00,1.00,27.50,"Digital Wallet",In-store,2023-03-25,True
TXN_3278532,CUST_07,Furniture,,0.00,9.00,247.50,Cash,In-store,2025-01-12,False
TXN_3512388,CUST_14,Furniture,,0.00,10.00,110.00,"Digital Wallet",In-store,2024-03-30,
TXN_8905154,CUST_09,Butchers,,0.00,5.00,115.00,"Credit Card",In-store,2022-10-24,
TXN_2031813,CUST_12,Butchers,,0.00,1.00,6.50,"Credit Card",Online,2024-07-11,True
TXN_1096977,CUST_07,Food,,0.00,9.00,207.00,Cash,In-store,2024-12-07,False
TXN_9017628,CUST_19,Food,,0.00,5.00,55.00,"Credit Card",In-store,2022-10-10,False
TXN_7109246,CUST_04,Butchers,,0.00,8.00,64.00,Cash,Online,2022-03-11,False
