total_gastado,Total_Spent
185.0000,185.00
261.0000,261.00
43.0000,43.00
247.5000,247.50
87.5000,87.50
40.0000,40.00
27.5000,27.50
109.5000,109.50
72.0000,72.00
45.5000,45.50
237.0000,237.00
55.0000,55.00
232.0000,232.00
23.0000,23.00
126.0000,126.00
66.5000,66.50
18.5000,18.50
49.0000,49.00
134.0000,134.00
410.0000,410.00
245.0000,245.00
182.5000,182.50
200.0000,200.00
100.0000,100.00
315.0000,315.00
287.0000,287.00
76.0000,76.00
92.5000,92.50
100.0000,100.00
190.0000,190.00
255.5000,255.50
92.5000,92.50
276.5000,276.50
46.5000,46.50
8.0000,8.00
107.5000,107.50
165.0000,165.00
80.0000,80.00
165.0000,165.00
192.5000,192.50
335.0000,335.00
66.0000,66.00
215.0000,215.00
96.0000,96.00
190.0000,190.00
42.0000,42.00
11.0000,11.00
234.0000,234.00
247.5000,247.50
87.5000,87.50
316.0000,316.00
82.5000,82.50
180.0000,180.00
255.5000,255.50
365.0000,365.00
39.0000,39.00
245.0000,245.00
172.0000,172.00
134.0000,134.00
122.0000,122.00
30.0000,30.00
66.5000,66.50
365.0000,365.00
126.0000,126.00
84.0000,84.00
320.0000,320.00
219.0000,219.00
335.0000,335.00
67.0000,67.00
146.0000,146.00
290.0000,290.00
70.0000,70.00
160.0000,160.00
82.0000,82.00
14.0000,14.00
105.0000,105.00
355.5000,355.50
124.0000,124.00
28.5000,28.50
49.0000,49.00
47.5000,47.50
193.5000,193.50
38.0000,38.00
14.0000,14.00
76.0000,76.00
12.5000,12.50
140.0000,140.00
120.0000,120.00
183.0000,183.00
335.0000,335.00
165.0000,165.00
305.0000,305.00
41.0000,41.00
155.0000,155.00
92.5000,92.50
19.5000,19.50
287.0000,287.00
33.0000,33.00
108.5000,108.50
109.5000,109.50
119.0000,119.00
280.0000,280.00
155.0000,155.00
287.0000,287.00
62.0000,62.00
32.0000,32.00
380.0000,380.00
304.0000,304.00
139.5000,139.50
114.0000,114.00
192.0000,192.00
167.5000,167.50
92.5000,92.50
88.0000,88.00
395.0000,395.00
70.0000,70.00
158.0000,158.00
25.0000,25.00
410.0000,410.00
50.0000,50.00
395.0000,395.00
32.5000,32.50
122.0000,122.00
15.0000,15.00
33.5000,33.50
24.0000,24.00
111.0000,111.00
120.0000,120.00
40.0000,40.00
395.0000,395.00
46.0000,46.00
25.0000,25.00
32.5000,32.50
305.0000,305.00
36.5000,36.50
62.5000,62.50
25.0000,25.00
280.0000,280.00
139.5000,139.50
219.0000,219.00
161.0000,161.00
26.0000,26.00
98.0000,98.00
126.0000,126.00
315.0000,315.00
85.0000,85.00
41.0000,41.00
126.0000,126.00
84.0000,84.00
287.0000,287.00
98.0000,98.00
192.0000,192.00
80.0000,80.00
228.0000,228.00
91.5000,91.50
140.0000,140.00
93.0000,93.00
55.0000,55.00
335.0000,335.00
35.0000,35.00
82.0000,82.00
180.0000,180.00
88.0000,88.00
192.5000,192.50
40.0000,40.00
167.5000,167.50
261.0000,261.00
208.0000,208.00
100.5000,100.50
167.5000,167.50
275.0000,275.00
134.0000,134.00
38.0000,38.00
9.5000,9.50
42.0000,42.00
247.5000,247.50
10.0000,10.00
138.0000,138.00
288.0000,288.00
167.5000,167.50
60.0000,60.00
123.0000,123.00
43.0000,43.00
73.0000,73.00
197.5000,197.50
69.0000,69.00
61.0000,61.00
140.0000,140.00
52.0000,52.00
116.0000,116.00
70.0000,70.00
46.5000,46.50
35.0000,35.00
50.0000,50.00
123.0000,123.00
76.0000,76.00
47.5000,47.50
245.0000,245.00
55.5000,55.50
6.5000,6.50
82.0000,82.00
93.0000,93.00
152.5000,152.50
118.5000,118.50
35.0000,35.00
123.0000,123.00
25.0000,25.00
172.0000,172.00
280.0000,280.00
190.0000,190.00
192.5000,192.50
74.0000,74.00
66.0000,66.00
105.0000,105.00
205.0000,205.00
150.5000,150.50
110.0000,110.00
10.0000,10.00
19.0000,19.00
6.5000,6.50
48.0000,48.00
175.0000,175.00
369.0000,369.00
255.5000,255.50
37.5000,37.50
150.5000,150.50
65.0000,65.00
170.0000,170.00
77.5000,77.50
129.5000,129.50
15.5000,15.50
24.5000,24.50
118.5000,118.50
147.0000,147.00
37.5000,37.50
21.5000,21.50
46.5000,46.50
77.5000,77.50
72.0000,72.00
55.0000,55.00
35.0000,35.00
98.0000,98.00
31.0000,31.00
38.0000,38.00
12.5000,12.50
170.0000,170.00
123.0000,123.00
128.0000,128.00
234.0000,234.00
234.0000,234.00
58.5000,58.50
6.5000,6.50
129.5000,129.50
237.0000,237.00
55.0000,55.00
66.0000,66.00
50.0000,50.00
266.0000,266.00
138.0000,138.00
29.0000,29.00
167.5000,167.50
288.0000,288.00
158.0000,158.00
50.0000,50.00
64.0000,64.00
15.5000,15.50
128.0000,128.00
115.0000,115.00
32.0000,32.00
39.0000,39.00
80.0000,80.00
119.0000,119.00
276.5000,276.50
80.0000,80.00
69.0000,69.00
355.5000,355.50
93.0000,93.00
64.5000,64.50
260.0000,260.00
55.0000,55.00
232.0000,232.00
41.0000,41.00
207.0000,207.00
224.0000,224.00
335.0000,335.00
52.0000,52.00
64.0000,64.00
73.0000,73.00
35.0000,35.00
170.0000,170.00
120.0000,120.00
207.0000,207.00
185.0000,185.00
80.0000,80.00
232.0000,232.00
328.0000,328.00
92.0000,92.00
93.0000,93.00
120.0000,120.00
60.0000,60.00
244.0000,244.00
33.0000,33.00
39.5000,39.50
37.5000,37.50
237.0000,237.00
15.0000,15.00
67.0000,67.00
410.0000,410.00
328.0000,328.00
100.0000,100.00
69.0000,69.00
43.0000,43.00
23.0000,23.00
268.0000,268.00
16.0000,16.00
328.5000,328.50
129.5000,129.50
147.0000,147.00
118.5000,118.50
118.5000,118.50
61.0000,61.00
44.0000,44.00
73.0000,73.00
11.0000,11.00
76.0000,76.00
234.0000,234.00
129.0000,129.00
92.0000,92.00
72.0000,72.00
301.5000,301.50
80.0000,80.00
255.5000,255.50
182.0000,182.00
99.0000,99.00
57.0000,57.00
43.0000,43.00
29.0000,29.00
115.0000,115.00
98.0000,98.00
5.0000,5.00
98.0000,98.00
369.0000,369.00
108.5000,108.50
320.0000,320.00
120.0000,120.00
70.0000,70.00
38.0000,38.00
52.0000,52.00
122.5000,122.50
261.0000,261.00
35.0000,35.00
261.0000,261.00
15.5000,15.50
67.0000,67.00
23.0000,23.00
24.0000,24.00
112.5000,112.50
275.0000,275.00
190.0000,190.00
68.0000,68.00
64.0000,64.00
182.5000,182.50
60.0000,60.00
60.0000,60.00
232.0000,232.00
316.0000,316.00
73.0000,73.00
68.0000,68.00
280.0000,280.00
320.0000,320.00
33.5000,33.50
228.0000,228.00
64.5000,64.50
172.0000,172.00
147.0000,147.00
6.5000,6.50
193.5000,193.50
134.0000,134.00
33.0000,33.00
292.0000,292.00
192.0000,192.00
215.0000,215.00
328.5000,328.50
146.0000,146.00
111.0000,111.00
220.0000,220.00
28.0000,28.00
39.0000,39.00
150.5000,150.50
342.0000,342.00
33.0000,33.00
147.0000,147.00
64.5000,64.50
205.0000,205.00
32.5000,32.50
182.0000,182.00
93.0000,93.00
26.0000,26.00
102.0000,102.00
35.0000,35.00
68.0000,68.00
98.0000,98.00
247.5000,247.50
19.0000,19.00
19.0000,19.00
67.0000,67.00
110.0000,110.00
290.0000,290.00
120.0000,120.00
77.5000,77.50
61.0000,61.00
77.0000,77.00
123.0000,123.00
140.0000,140.00
35.0000,35.00
196.0000,196.00
38.0000,38.00
100.0000,100.00
125.0000,125.00
237.0000,237.00
12.5000,12.50
210.0000,210.00
91.5000,91.50
137.5000,137.50
245.0000,245.00
110.0000,110.00
60.0000,60.00
134.0000,134.00
219.0000,219.00
33.5000,33.50
25.0000,25.00
315.0000,315.00
44.0000,44.00
136.0000,136.00
292.0000,292.00
29.0000,29.00
380.0000,380.00
58.5000,58.50
64.0000,64.00
145.0000,145.00
123.0000,123.00
62.5000,62.50
6.5000,6.50
36.5000,36.50
107.5000,107.50
100.0000,100.00
80.0000,80.00
30.0000,30.00
172.0000,172.00
46.0000,46.00
55.0000,55.00
65.0000,65.00
55.0000,55.00
153.0000,153.00
245.0000,245.00
29.0000,29.00
210.0000,210.00
80.0000,80.00
138.0000,138.00
60.0000,60.00
95.0000,95.00
79.0000,79.00
78.0000,78.00
38.0000,38.00
305.0000,305.00
37.5000,37.50
51.0000,51.00
38.0000,38.00
190.0000,190.00
30.0000,30.00
160.0000,160.00
15.0000,15.00
46.5000,46.50
256.0000,256.00
224.0000,224.00
182.5000,182.50
31.0000,31.00
215.0000,215.00
33.0000,33.00
152.0000,152.00
50.0000,50.00
230.0000,230.00
276.5000,276.50
247.5000,247.50
193.5000,193.50
275.0000,275.00
31.0000,31.00
31.0000,31.00
26.0000,26.00
230.0000,230.00
274.5000,274.50
93.0000,93.00
65.0000,65.00
69.0000,69.00
21.5000,21.50
98.0000,98.00
77.5000,77.50
280.0000,280.00
55.0000,55.00
245.0000,245.00
111.0000,111.00
138.0000,138.00
160.0000,160.00
160.0000,160.00
77.5000,77.50
205.0000,205.00
255.5000,255.50
40.0000,40.00
184.0000,184.00
182.0000,182.00
25.0000,25.00
171.5000,171.50
29.0000,29.00
116.0000,116.00
29.0000,29.00
20.0000,20.00
25.0000,25.00
58.0000,58.00
52.0000,52.00
274.5000,274.50
213.5000,213.50
365.0000,365.00
175.0000,175.00
107.5000,107.50
114.0000,114.00
192.0000,192.00
78.0000,78.00
203.0000,203.00
161.0000,161.00
65.0000,65.00
193.5000,193.50
58.0000,58.00
266.0000,266.00
276.5000,276.50
140.0000,140.00
40.0000,40.00
20.0000,20.00
73.0000,73.00
104.0000,104.00
107.5000,107.50
58.0000,58.00
201.0000,201.00
234.5000,234.50
87.0000,87.00
93.0000,93.00
104.0000,104.00
56.0000,56.00
28.5000,28.50
86.0000,86.00
66.5000,66.50
55.0000,55.00
93.0000,93.00
25.0000,25.00
55.0000,55.00
67.0000,67.00
139.5000,139.50
30.5000,30.50
20.0000,20.00
85.5000,85.50
49.0000,49.00
167.5000,167.50
67.0000,67.00
60.0000,60.00
62.0000,62.00
62.5000,62.50
55.0000,55.00
37.5000,37.50
55.5000,55.50
175.0000,175.00
110.0000,110.00
112.5000,112.50
39.5000,39.50
174.0000,174.00
155.0000,155.00
46.5000,46.50
137.5000,137.50
342.0000,342.00
20.0000,20.00
22.0000,22.00
255.5000,255.50
42.0000,42.00
172.0000,172.00
175.0000,175.00
29.0000,29.00
320.0000,320.00
139.5000,139.50
158.0000,158.00
26.0000,26.00
207.0000,207.00
70.0000,70.00
120.0000,120.00
29.0000,29.00
67.0000,67.00
6.5000,6.50
34.0000,34.00
46.5000,46.50
365.0000,365.00
20.0000,20.00
156.0000,156.00
350.0000,350.00
228.0000,228.00
292.0000,292.00
64.5000,64.50
57.0000,57.00
315.0000,315.00
174.0000,174.00
156.0000,156.00
76.0000,76.00
184.0000,184.00
350.0000,350.00
167.5000,167.50
73.0000,73.00
33.5000,33.50
145.0000,145.00
215.0000,215.00
44.0000,44.00
75.0000,75.00
27.5000,27.50
23.0000,23.00
115.0000,115.00
305.0000,305.00
114.0000,114.00
328.0000,328.00
274.5000,274.50
210.0000,210.00
108.5000,108.50
15.0000,15.00
246.0000,246.00
100.0000,100.00
95.0000,95.00
126.0000,126.00
19.5000,19.50
99.0000,99.00
234.5000,234.50
22.0000,22.00
150.5000,150.50
234.0000,234.00
51.0000,51.00
140.0000,140.00
98.0000,98.00
43.0000,43.00
52.0000,52.00
75.0000,75.00
26.0000,26.00
33.5000,33.50
49.0000,49.00
25.0000,25.00
39.0000,39.00
180.0000,180.00
69.0000,69.00
369.0000,369.00
152.0000,152.00
200.0000,200.00
73.0000,73.00
365.0000,365.00
78.0000,78.00
14.0000,14.00
49.0000,49.00
237.0000,237.00
85.5000,85.50
75.0000,75.00
160.0000,160.00
268.0000,268.00
125.0000,125.00
172.0000,172.00
69.0000,69.00
220.0000,220.00
61.0000,61.00
87.0000,87.00
125.0000,125.00
220.5000,220.50
192.5000,192.50
125.0000,125.00
208.0000,208.00
136.0000,136.00
9.5000,9.50
40.0000,40.00
29.0000,29.00
171.5000,171.50
72.0000,72.00
19.0000,19.00
16.0000,16.00
205.0000,205.00
